"from","to","line","linecolor"
1,2,"Blue","#0000FF"
2,3,"Blue","#0000FF"
3,4,"Blue","#0000FF"
4,5,"Blue","#0000FF"
5,6,"Blue","#0000FF"
6,7,"Blue","#0000FF"
7,8,"Blue","#0000FF"
8,9,"Blue","#0000FF"
9,10,"Blue","#0000FF"
10,11,"Blue","#0000FF"
11,12,"Blue","#0000FF"
12,13,"Blue","#0000FF"
13,14,"Blue","#0000FF"
14,15,"Blue","#0000FF"
15,16,"Blue","#0000FF"
16,17,"Green","#00FF00"
17,18,"Green","#00FF00"
18,19,"Green","#00FF00"
19,20,"Green","#00FF00"
20,21,"Green","#00FF00"
21,22,"Green","#00FF00"
22,23,"Green","#00FF00"
23,24,"Green","#00FF00"
24,25,"Green","#00FF00"
25,26,"Green","#00FF00"
26,6,"Green","#00FF00"
20,27,"Red","#FF0000"
27,28,"Red","#FF0000"
28,29,"Red","#FF0000"
29,7,"Red","#FF0000"
29,30,"Red","#FF0000"
30,31,"Red","#FF0000"
32,22,"Red","#FF0000"
22,33,"Red","#FF0000"
33,34,"Red","#FF0000"
34,2,"Red","#FF0000"
34,35,"Red","#FF0000"
