"from","to","line","linecolor"
1,2,"Light Green","#90EE90"
2,3,"Light Green","#90EE90"
3,4,"Light Green","#90EE90"
4,5,"Light Green","#90EE90"
5,6,"Light Green","#90EE90"
6,7,"Light Green","#90EE90"
7,34,"Light Green","#90EE90"
35,7,"Light Blue","#ADD8E6"
7,8,"Light Blue","#ADD8E6"
8,9,"Light Blue","#ADD8E6"
9,10,"Light Blue","#ADD8E6"
10,11,"Light Blue","#ADD8E6"
11,12,"Light Blue","#ADD8E6"
12,13,"Light Blue","#ADD8E6"
13,14,"Light Blue","#ADD8E6"
14,15,"Light Blue","#ADD8E6"
15,16,"Light Blue","#ADD8E6"
16,17,"Light Blue","#ADD8E6"
17,26,"Light Blue","#ADD8E6"
12,18,"Orange","#FFA500"
18,19,"Orange","#FFA500"
19,2,"Orange","#FFA500"
2,20,"Orange","#FFA500"
21,22,"Yellow","#FFFF00"
22,11,"Yellow","#FFFF00"
11,23,"Yellow","#FFFF00"
23,4,"Yellow","#FFFF00"
14,24,"Turquoise","#30D5C8"
24,19,"Turquoise","#30D5C8"
19,25,"Turquoise","#30D5C8"
25,3,"Turquoise","#30D5C8"
26,27,"Red","#FF0000"
27,20,"Red","#FF0000"
20,3,"Red","#FF0000"
4,28,"Red","#FF0000"
28,6,"Red","#FF0000"
6,29,"Red","#FF0000"
29,30,"Red","#FF0000"
30,31,"Red","#FF0000"
31,32,"Red","#FF0000"
32,33,"Purple","#A020F0"
33,34,"Purple","#A020F0"
34,35,"Purple","#A020F0"
