"from","to","line","linecolor"
2,1,"Blue","#0000FF"
1,3,"Blue","#0000FF"
3,4,"Blue","#0000FF"
4,5,"Blue","#0000FF"
5,6,"Blue","#0000FF"
6,7,"Blue","#0000FF"
7,8,"Blue","#0000FF"
6,9,"Blue","#0000FF"
9,10,"Blue","#0000FF"
11,12,"Red","#FF0000"
12,13,"Red","#FF0000"
13,14,"Red","#FF0000"
14,15,"Red","#FF0000"
13,1,"Red","#FF0000"
1,16,"Red","#FF0000"
16,17,"Red","#FF0000"
17,18,"Red","#FF0000"
18,19,"Red","#FF0000"
19,20,"Red","#FF0000"
20,21,"Red","#FF0000"
21,22,"Red","#FF0000"
22,23,"Red","#FF0000"
21,24,"Red","#FF0000"
24,25,"Red","#FF0000"
4,26,"Green","#00FF00"
26,27,"Green","#00FF00"
27,28,"Green","#00FF00"
28,29,"Green","#00FF00"
29,1,"Green","#00FF00"
1,16,"Green","#00FF00"
16,17,"Green","#00FF00"
17,30,"Green","#00FF00"
30,31,"Green","#00FF00"
31,32,"Green","#00FF00"
32,33,"Green","#00FF00"
32,34,"Green","#00FF00"
34,35,"Green","#00FF00"
